player_id,player,match_id,date,kills,hs,assists,flash_assists,kdratio,deaths,kddiff,adr,fkdiff,rating,teamname,winner,winner_id,total_rounds,mapstatid,win_rounds,map
15428,15428,Goofy,2342272,2020-06-18,29,7,5,0,5,16,13,113,1,1.57,PACT,PACT,8248,28.0,104462,16,Nuke
15940,15940,Sobol,2342272,2020-06-18,21,13,3,0,3,17,4,69,-1,1.01,PACT,PACT,8248,28.0,104462,16,Nuke
2826,2826,MINISE,2342272,2020-06-18,15,6,5,1,5,15,0,60,2,1.01,PACT,PACT,8248,28.0,104462,16,Nuke
11287,11287,darko,2342272,2020-06-18,14,5,7,2,7,14,0,51,-2,0.95,PACT,PACT,8248,28.0,104462,16,Nuke
9798,9798,lunAtic,2342272,2020-06-18,14,11,5,0,5,23,-9,69,2,0.85,PACT,PACT,8248,28.0,104462,16,Nuke
8371,8371,alex,2342272,2020-06-18,22,11,3,0,3,19,3,88,4,1.24,Movistar Riders,PACT,8248,28.0,104462,16,Nuke
7382,7382,steel,2342272,2020-06-18,19,8,4,1,4,18,1,68,-1,1.07,Movistar Riders,PACT,8248,28.0,104462,16,Nuke
3997,3997,loWel,2342272,2020-06-18,19,10,1,0,1,17,2,69,-2,0.97,Movistar Riders,PACT,8248,28.0,104462,16,Nuke
4373,4373,EasTor,2342272,2020-06-18,13,2,6,2,6,19,-6,56,-2,0.88,Movistar Riders,PACT,8248,28.0,104462,16,Nuke
9254,9254,mopoz,2342272,2020-06-18,12,8,4,1,4,20,-8,62,-1,0.74,Movistar Riders,PACT,8248,28.0,104462,16,Nuke
8726,8726,facecrack,2342289,2020-06-18,15,8,2,0,2,18,-3,57,0,0.88,forZe,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
12732,12732,FL1T,2342289,2020-06-18,13,7,5,0,5,18,-5,76,-1,0.86,forZe,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
11654,11654,almazer,2342289,2020-06-18,11,8,3,1,3,16,-5,67,0,0.79,forZe,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
12733,12733,xsepower,2342289,2020-06-18,14,4,2,0,2,16,-2,45,-5,0.71,forZe,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
13157,13157,Jerry,2342289,2020-06-18,7,1,8,2,8,18,-11,51,0,0.67,forZe,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
16555,16555,Ax1Le,2342289,2020-06-18,22,16,2,0,2,15,7,102,1,1.4,Gambit Youngsters,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
16920,16920,sh1ro,2342289,2020-06-18,18,3,7,5,7,12,6,78,2,1.32,Gambit Youngsters,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
16921,16921,nafany,2342289,2020-06-18,17,9,4,2,4,13,4,75,0,1.27,Gambit Youngsters,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
15071,15071,interz,2342289,2020-06-18,13,8,4,1,4,11,2,62,4,1.24,Gambit Youngsters,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
16415,16415,supra,2342289,2020-06-18,16,13,4,3,4,9,7,57,-1,1.16,Gambit Youngsters,Gambit%20Youngsters,9976,24.0,104461,16,Overpass
8416,8416,ayken,2341977,2020-06-18,11,4,0,0,0,18,-7,72,0,0.7,mens,AGO,8068,18.0,104460,16,Nuke
11938,11938,crank,2341977,2020-06-18,7,3,1,0,1,16,-9,53,1,0.65,mens,AGO,8068,18.0,104460,16,Nuke
8324,8324,morelz,2341977,2020-06-18,8,3,0,0,0,17,-9,42,-2,0.52,mens,AGO,8068,18.0,104460,16,Nuke
7232,7232,r0bs3n,2341977,2020-06-18,7,4,2,0,2,17,-10,61,0,0.45,mens,AGO,8068,18.0,104460,16,Nuke
5480,5480,jOELZ,2341977,2020-06-18,5,2,3,0,3,16,-11,45,-5,0.43,mens,AGO,8068,18.0,104460,16,Nuke
8321,8321,oskarish,2341977,2020-06-18,19,13,2,0,2,7,12,97,3,1.65,AGO,AGO,8068,18.0,104460,16,Nuke
19044,19044,F1KU,2341977,2020-06-18,17,10,3,0,3,9,8,106,2,1.61,AGO,AGO,8068,18.0,104460,16,Nuke
16847,16847,mhL,2341977,2020-06-18,16,3,6,0,6,6,10,102,-1,1.6,AGO,AGO,8068,18.0,104460,16,Nuke
8327,8327,Furlan,2341977,2020-06-18,17,10,3,1,3,9,8,87,3,1.57,AGO,AGO,8068,18.0,104460,16,Nuke
8570,8570,GruBy,2341977,2020-06-18,15,6,2,1,2,7,8,83,-1,1.31,AGO,AGO,8068,18.0,104460,16,Nuke
7998,7998,s1mple,2342085,2020-06-18,18,7,4,4,4,15,3,71,-1,0.98,Natus Vincere,Complexity,5005,24.0,104463,16,Dust2
11840,11840,Boombl4,2342085,2020-06-18,12,5,5,0,5,17,-5,70,1,0.87,Natus Vincere,Complexity,5005,24.0,104463,16,Dust2
7594,7594,flamie,2342085,2020-06-18,12,6,4,3,4,16,-4,51,2,0.78,Natus Vincere,Complexity,5005,24.0,104463,16,Dust2
16947,16947,Perfecto,2342085,2020-06-18,12,6,7,1,7,21,-9,66,-3,0.7,Natus Vincere,Complexity,5005,24.0,104463,16,Dust2
8918,8918,electronic,2342085,2020-06-18,9,4,2,1,2,18,-9,49,-2,0.6,Natus Vincere,Complexity,5005,24.0,104463,16,Dust2
12126,12126,poizon,2342085,2020-06-18,23,9,7,6,7,9,14,82,3,1.57,Complexity,Complexity,5005,24.0,104463,16,Dust2
7805,7805,RUSH,2342085,2020-06-18,19,11,10,3,10,12,7,96,2,1.56,Complexity,Complexity,5005,24.0,104463,16,Dust2
15165,15165,blameF,2342085,2020-06-18,17,9,4,1,4,14,3,78,-1,1.14,Complexity,Complexity,5005,24.0,104463,16,Dust2
9078,9078,k0nfig,2342085,2020-06-18,16,12,3,2,3,16,0,70,1,1.09,Complexity,Complexity,5005,24.0,104463,16,Dust2
14614,14614,oBo,2342085,2020-06-18,12,6,3,0,3,12,0,58,-2,1.01,Complexity,Complexity,5005,24.0,104463,16,Dust2
7998,7998,s1mple,2342085,2020-06-18,26,11,2,0,2,6,20,93,1,1.82,Natus Vincere,Natus%20Vincere,4608,21.0,104458,16,Nuke
7594,7594,flamie,2342085,2020-06-18,19,9,8,0,8,11,8,111,4,1.71,Natus Vincere,Natus%20Vincere,4608,21.0,104458,16,Nuke
16947,16947,Perfecto,2342085,2020-06-18,13,5,2,0,2,11,2,55,0,1.08,Natus Vincere,Natus%20Vincere,4608,21.0,104458,16,Nuke
11840,11840,Boombl4,2342085,2020-06-18,13,6,6,0,6,15,-2,82,-3,0.96,Natus Vincere,Natus%20Vincere,4608,21.0,104458,16,Nuke
8918,8918,electronic,2342085,2020-06-18,9,4,4,0,4,13,-4,58,1,0.9,Natus Vincere,Natus%20Vincere,4608,21.0,104458,16,Nuke
15165,15165,blameF,2342085,2020-06-18,16,7,5,3,5,13,3,81,0,1.24,Complexity,Natus%20Vincere,4608,21.0,104458,16,Nuke
14614,14614,oBo,2342085,2020-06-18,13,5,5,1,5,16,-3,68,1,0.99,Complexity,Natus%20Vincere,4608,21.0,104458,16,Nuke
12126,12126,poizon,2342085,2020-06-18,11,4,4,2,4,17,-6,65,0,0.83,Complexity,Natus%20Vincere,4608,21.0,104458,16,Nuke
7805,7805,RUSH,2342085,2020-06-18,7,4,1,0,1,17,-10,52,-2,0.71,Complexity,Natus%20Vincere,4608,21.0,104458,16,Nuke
9078,9078,k0nfig,2342085,2020-06-18,8,5,2,1,2,17,-9,44,-2,0.61,Complexity,Natus%20Vincere,4608,21.0,104458,16,Nuke
14380,14380,Patrick,2342270,2020-06-18,18,11,8,2,8,19,-1,87,0,1.14,FATE,Ambush,7674,25.0,104459,16,Inferno
8917,8917,niki1,2342270,2020-06-18,18,11,5,0,5,21,-3,89,0,1.11,FATE,Ambush,7674,25.0,104459,16,Inferno
10697,10697,blocker,2342270,2020-06-18,14,10,3,0,3,16,-2,75,1,1.02,FATE,Ambush,7674,25.0,104459,16,Inferno
20097,20097,h4rn,2342270,2020-06-18,13,5,5,2,5,14,-1,58,0,0.96,FATE,Ambush,7674,25.0,104459,16,Inferno
13464,13464,mar,2342270,2020-06-18,12,1,0,0,0,14,-2,34,0,0.78,FATE,Ambush,7674,25.0,104459,16,Inferno
7463,7463,Inzta,2342270,2020-06-18,20,12,2,2,2,16,4,78,1,1.33,Ambush,Ambush,7674,25.0,104459,16,Inferno
11913,11913,zeq,2342270,2020-06-18,21,10,3,0,3,14,7,96,1,1.32,Ambush,Ambush,7674,25.0,104459,16,Inferno
8848,8848,Ryxxo,2342270,2020-06-18,16,5,2,0,2,13,3,82,1,1.22,Ambush,Ambush,7674,25.0,104459,16,Inferno
15407,15407,Typos,2342270,2020-06-18,15,4,7,3,7,16,-1,59,-1,0.99,Ambush,Ambush,7674,25.0,104459,16,Inferno
16731,16731,IceBerg,2342270,2020-06-18,12,4,3,1,3,16,-4,46,-3,0.73,Ambush,Ambush,7674,25.0,104459,16,Inferno
10697,10697,blocker,2342270,2020-06-18,31,14,6,0,6,24,7,98,2,1.41,FATE,Ambush,7674,36.0,104454,19,Nuke
13464,13464,mar,2342270,2020-06-18,27,12,5,0,5,26,1,81,0,1.12,FATE,Ambush,7674,36.0,104454,19,Nuke
20097,20097,h4rn,2342270,2020-06-18,28,7,2,1,2,21,7,66,2,1.12,FATE,Ambush,7674,36.0,104454,19,Nuke
8917,8917,niki1,2342270,2020-06-18,18,9,5,2,5,23,-5,55,2,0.9,FATE,Ambush,7674,36.0,104454,19,Nuke
14380,14380,Patrick,2342270,2020-06-18,11,6,3,0,3,22,-11,41,-2,0.66,FATE,Ambush,7674,36.0,104454,19,Nuke
8848,8848,Ryxxo,2342270,2020-06-18,37,7,8,3,8,19,18,89,4,1.55,Ambush,Ambush,7674,36.0,104454,19,Nuke
15407,15407,Typos,2342270,2020-06-18,17,9,12,0,12,23,-6,75,4,1.09,Ambush,Ambush,7674,36.0,104454,19,Nuke
7463,7463,Inzta,2342270,2020-06-18,26,7,5,1,5,22,4,68,-5,1.06,Ambush,Ambush,7674,36.0,104454,19,Nuke
11913,11913,zeq,2342270,2020-06-18,18,5,5,0,5,24,-6,58,-6,0.84,Ambush,Ambush,7674,36.0,104454,19,Nuke
16731,16731,IceBerg,2342270,2020-06-18,17,10,5,1,5,27,-10,52,-1,0.75,Ambush,Ambush,7674,36.0,104454,19,Nuke
10697,10697,blocker,2342270,2020-06-18,31,14,6,0,6,24,7,98,2,1.41,FATE,Ambush,7674,36.0,104454,19,Nuke
13464,13464,mar,2342270,2020-06-18,27,12,5,0,5,26,1,81,0,1.12,FATE,Ambush,7674,36.0,104454,19,Nuke
20097,20097,h4rn,2342270,2020-06-18,28,7,2,1,2,21,7,66,2,1.12,FATE,Ambush,7674,36.0,104454,19,Nuke
8917,8917,niki1,2342270,2020-06-18,18,9,5,2,5,23,-5,55,2,0.9,FATE,Ambush,7674,36.0,104454,19,Nuke
14380,14380,Patrick,2342270,2020-06-18,11,6,3,0,3,22,-11,41,-2,0.66,FATE,Ambush,7674,36.0,104454,19,Nuke
8848,8848,Ryxxo,2342270,2020-06-18,37,7,8,3,8,19,18,89,4,1.55,Ambush,Ambush,7674,36.0,104454,19,Nuke
15407,15407,Typos,2342270,2020-06-18,17,9,12,0,12,23,-6,75,4,1.09,Ambush,Ambush,7674,36.0,104454,19,Nuke
7463,7463,Inzta,2342270,2020-06-18,26,7,5,1,5,22,4,68,-5,1.06,Ambush,Ambush,7674,36.0,104454,19,Nuke
11913,11913,zeq,2342270,2020-06-18,18,5,5,0,5,24,-6,58,-6,0.84,Ambush,Ambush,7674,36.0,104454,19,Nuke
16731,16731,IceBerg,2342270,2020-06-18,17,10,5,1,5,27,-10,52,-1,0.75,Ambush,Ambush,7674,36.0,104454,19,Nuke
14380,14380,Patrick,2342270,2020-06-18,18,11,8,2,8,19,-1,87,0,1.14,FATE,Ambush,7674,25.0,104459,16,Inferno
8917,8917,niki1,2342270,2020-06-18,18,11,5,0,5,21,-3,89,0,1.11,FATE,Ambush,7674,25.0,104459,16,Inferno
10697,10697,blocker,2342270,2020-06-18,14,10,3,0,3,16,-2,75,1,1.02,FATE,Ambush,7674,25.0,104459,16,Inferno
20097,20097,h4rn,2342270,2020-06-18,13,5,5,2,5,14,-1,58,0,0.96,FATE,Ambush,7674,25.0,104459,16,Inferno
13464,13464,mar,2342270,2020-06-18,12,1,0,0,0,14,-2,34,0,0.78,FATE,Ambush,7674,25.0,104459,16,Inferno
7463,7463,Inzta,2342270,2020-06-18,20,12,2,2,2,16,4,78,1,1.33,Ambush,Ambush,7674,25.0,104459,16,Inferno
11913,11913,zeq,2342270,2020-06-18,21,10,3,0,3,14,7,96,1,1.32,Ambush,Ambush,7674,25.0,104459,16,Inferno
8848,8848,Ryxxo,2342270,2020-06-18,16,5,2,0,2,13,3,82,1,1.22,Ambush,Ambush,7674,25.0,104459,16,Inferno
15407,15407,Typos,2342270,2020-06-18,15,4,7,3,7,16,-1,59,-1,0.99,Ambush,Ambush,7674,25.0,104459,16,Inferno
16731,16731,IceBerg,2342270,2020-06-18,12,4,3,1,3,16,-4,46,-3,0.73,Ambush,Ambush,7674,25.0,104459,16,Inferno
18028,18028,CrimZM,2341890,2020-06-18,19,6,4,1,4,12,7,70,2,1.31,Mako,Mako,10507,23.0,104457,16,Mirage
19778,19778,ZILLA,2341890,2020-06-18,17,6,10,3,10,16,1,92,0,1.31,Mako,Mako,10507,23.0,104457,16,Mirage
18346,18346,callum_murray,2341890,2020-06-18,16,8,4,1,4,10,6,72,1,1.24,Mako,Mako,10507,23.0,104457,16,Mirage
18740,18740,Jim%5E,2341890,2020-06-18,14,5,5,0,5,12,2,60,-1,1.07,Mako,Mako,10507,23.0,104457,16,Mirage
8758,8758,xertz,2341890,2020-06-18,11,6,5,1,5,12,-1,66,1,0.93,Mako,Mako,10507,23.0,104457,16,Mirage
11492,11492,Noisia,2341890,2020-06-18,16,3,11,6,11,14,2,79,1,1.21,Skyfire,Mako,10507,23.0,104457,16,Mirage
16034,16034,Dirty,2341890,2020-06-18,14,6,5,3,5,16,-2,76,2,0.92,Skyfire,Mako,10507,23.0,104457,16,Mirage
14502,14502,Prodigy,2341890,2020-06-18,11,3,3,0,3,15,-4,53,-4,0.71,Skyfire,Mako,10507,23.0,104457,16,Mirage
17394,17394,tot,2341890,2020-06-18,12,4,2,1,2,17,-5,49,0,0.69,Skyfire,Mako,10507,23.0,104457,16,Mirage
8770,8770,MoeycQ,2341890,2020-06-18,9,2,5,2,5,16,-7,52,-2,0.58,Skyfire,Mako,10507,23.0,104457,16,Mirage
18028,18028,CrimZM,2341890,2020-06-18,29,7,7,1,7,17,12,85,4,1.47,Mako,Skyfire,6161,34.0,104449,19,Inferno
18740,18740,Jim%5E,2341890,2020-06-18,25,11,5,2,5,28,-3,71,2,1.02,Mako,Skyfire,6161,34.0,104449,19,Inferno
19778,19778,ZILLA,2341890,2020-06-18,18,14,9,2,9,26,-8,82,0,0.88,Mako,Skyfire,6161,34.0,104449,19,Inferno
18346,18346,callum_murray,2341890,2020-06-18,19,4,5,2,5,24,-5,67,-4,0.75,Mako,Skyfire,6161,34.0,104449,19,Inferno
8758,8758,xertz,2341890,2020-06-18,14,8,6,3,6,23,-9,43,0,0.68,Mako,Skyfire,6161,34.0,104449,19,Inferno
17394,17394,tot,2341890,2020-06-18,29,10,9,1,9,22,7,83,2,1.36,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
8770,8770,MoeycQ,2341890,2020-06-18,27,7,11,6,11,21,6,78,0,1.2,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
16034,16034,Dirty,2341890,2020-06-18,22,13,5,1,5,21,1,77,-1,1.11,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
11492,11492,Noisia,2341890,2020-06-18,23,11,4,1,4,20,3,69,-4,1.0,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
14502,14502,Prodigy,2341890,2020-06-18,17,10,11,3,11,24,-7,63,1,0.94,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
19778,19778,ZILLA,2341890,2020-06-18,25,14,12,5,12,15,10,106,0,1.57,Mako,Mako,10507,30.0,104456,16,Dust2
18740,18740,Jim%5E,2341890,2020-06-18,23,10,3,0,3,16,7,81,0,1.3,Mako,Mako,10507,30.0,104456,16,Dust2
18028,18028,CrimZM,2341890,2020-06-18,17,8,7,3,7,18,-1,59,1,0.99,Mako,Mako,10507,30.0,104456,16,Dust2
18346,18346,callum_murray,2341890,2020-06-18,15,10,3,1,3,16,-1,57,-2,0.94,Mako,Mako,10507,30.0,104456,16,Dust2
8758,8758,xertz,2341890,2020-06-18,13,5,6,6,6,22,-9,41,-4,0.56,Mako,Mako,10507,30.0,104456,16,Dust2
16034,16034,Dirty,2341890,2020-06-18,26,14,4,2,4,17,9,89,1,1.28,Skyfire,Mako,10507,30.0,104456,16,Dust2
8770,8770,MoeycQ,2341890,2020-06-18,16,3,5,2,5,18,-2,58,3,1.0,Skyfire,Mako,10507,30.0,104456,16,Dust2
11492,11492,Noisia,2341890,2020-06-18,18,8,1,0,1,20,-2,63,1,0.97,Skyfire,Mako,10507,30.0,104456,16,Dust2
17394,17394,tot,2341890,2020-06-18,16,10,6,0,6,20,-4,68,-1,0.92,Skyfire,Mako,10507,30.0,104456,16,Dust2
14502,14502,Prodigy,2341890,2020-06-18,11,6,4,0,4,19,-8,50,0,0.77,Skyfire,Mako,10507,30.0,104456,16,Dust2
19778,19778,ZILLA,2341890,2020-06-18,25,14,12,5,12,15,10,106,0,1.57,Mako,Mako,10507,30.0,104456,16,Dust2
18740,18740,Jim%5E,2341890,2020-06-18,23,10,3,0,3,16,7,81,0,1.3,Mako,Mako,10507,30.0,104456,16,Dust2
18028,18028,CrimZM,2341890,2020-06-18,17,8,7,3,7,18,-1,59,1,0.99,Mako,Mako,10507,30.0,104456,16,Dust2
18346,18346,callum_murray,2341890,2020-06-18,15,10,3,1,3,16,-1,57,-2,0.94,Mako,Mako,10507,30.0,104456,16,Dust2
8758,8758,xertz,2341890,2020-06-18,13,5,6,6,6,22,-9,41,-4,0.56,Mako,Mako,10507,30.0,104456,16,Dust2
16034,16034,Dirty,2341890,2020-06-18,26,14,4,2,4,17,9,89,1,1.28,Skyfire,Mako,10507,30.0,104456,16,Dust2
8770,8770,MoeycQ,2341890,2020-06-18,16,3,5,2,5,18,-2,58,3,1.0,Skyfire,Mako,10507,30.0,104456,16,Dust2
11492,11492,Noisia,2341890,2020-06-18,18,8,1,0,1,20,-2,63,1,0.97,Skyfire,Mako,10507,30.0,104456,16,Dust2
17394,17394,tot,2341890,2020-06-18,16,10,6,0,6,20,-4,68,-1,0.92,Skyfire,Mako,10507,30.0,104456,16,Dust2
14502,14502,Prodigy,2341890,2020-06-18,11,6,4,0,4,19,-8,50,0,0.77,Skyfire,Mako,10507,30.0,104456,16,Dust2
18028,18028,CrimZM,2341890,2020-06-18,29,7,7,1,7,17,12,85,4,1.47,Mako,Skyfire,6161,34.0,104449,19,Inferno
18740,18740,Jim%5E,2341890,2020-06-18,25,11,5,2,5,28,-3,71,2,1.02,Mako,Skyfire,6161,34.0,104449,19,Inferno
19778,19778,ZILLA,2341890,2020-06-18,18,14,9,2,9,26,-8,82,0,0.88,Mako,Skyfire,6161,34.0,104449,19,Inferno
18346,18346,callum_murray,2341890,2020-06-18,19,4,5,2,5,24,-5,67,-4,0.75,Mako,Skyfire,6161,34.0,104449,19,Inferno
8758,8758,xertz,2341890,2020-06-18,14,8,6,3,6,23,-9,43,0,0.68,Mako,Skyfire,6161,34.0,104449,19,Inferno
17394,17394,tot,2341890,2020-06-18,29,10,9,1,9,22,7,83,2,1.36,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
8770,8770,MoeycQ,2341890,2020-06-18,27,7,11,6,11,21,6,78,0,1.2,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
16034,16034,Dirty,2341890,2020-06-18,22,13,5,1,5,21,1,77,-1,1.11,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
11492,11492,Noisia,2341890,2020-06-18,23,11,4,1,4,20,3,69,-4,1.0,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
14502,14502,Prodigy,2341890,2020-06-18,17,10,11,3,11,24,-7,63,1,0.94,Skyfire,Skyfire,6161,34.0,104449,19,Inferno
18028,18028,CrimZM,2341890,2020-06-18,19,6,4,1,4,12,7,70,2,1.31,Mako,Mako,10507,23.0,104457,16,Mirage
19778,19778,ZILLA,2341890,2020-06-18,17,6,10,3,10,16,1,92,0,1.31,Mako,Mako,10507,23.0,104457,16,Mirage
18346,18346,callum_murray,2341890,2020-06-18,16,8,4,1,4,10,6,72,1,1.24,Mako,Mako,10507,23.0,104457,16,Mirage
